ensembl_gene_id	entrezgene_id	external_gene_name	chromosome_name	description	gene_biotype
Eya2	ENSMUSG00000017897	14049	Eya2	2	EYA transcriptional coactivator and phosphatase 2	protein_coding
Zmynd8	ENSMUSG00000039671	228880	Zmynd8	2	zinc finger, MYND-type containing 8	protein_coding
Platr29	ENSMUSG00000084816	NA	Platr29	2	pluripotency associated transcript 29	lncRNA
Ncoa3	ENSMUSG00000027678	17979	Ncoa3	2	nuclear receptor coactivator 3	protein_coding
Sulf2	ENSMUSG00000006800	72043	Sulf2	2	sulfatase 2	protein_coding
5031425F14Rik	ENSMUSG00000085129	NA	5031425F14Rik	2	RIKEN cDNA 5031425F14 gene	lncRNA
Prex1	ENSMUSG00000039621	277360	Prex1	2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 1	protein_coding
Trp53rkb	ENSMUSG00000042854	76367	Trp53rkb	2	transformation related protein 53 regulating kinase B	protein_coding
Arfgef2	ENSMUSG00000074582	99371	Arfgef2	2	ADP-ribosylation factor guanine nucleotide-exchange factor 2 (brefeldin A-inhibited)	protein_coding
Cse1l	ENSMUSG00000002718	110750	Cse1l	2	chromosome segregation 1-like (S. cerevisiae)	protein_coding
Gm17096	ENSMUSG00000090397	NA	Gm17096	2	predicted gene 17096	lncRNA
Stau1	ENSMUSG00000039536	20853	Stau1	2	staufen double-stranded RNA binding protein 1	protein_coding
Ddx27	ENSMUSG00000017999	228889	Ddx27	2	DEAD (Asp-Glu-Ala-Asp) box polypeptide 27	protein_coding
Znfx1	ENSMUSG00000039501	98999	Znfx1	2	zinc finger, NFX1-type containing 1	protein_coding
Kcnb1	ENSMUSG00000050556	16500	Kcnb1	2	potassium voltage gated channel, Shab-related subfamily, member 1	protein_coding
Ptgis	ENSMUSG00000017969	19223	Ptgis	2	prostaglandin I2 (prostacyclin) synthase	protein_coding
B4galt5	ENSMUSG00000017929	56336	B4galt5	2	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5	protein_coding
Slc9a8	ENSMUSG00000039463	77031	Slc9a8	2	solute carrier family 9 (sodium/hydrogen exchanger), member 8	protein_coding
Spata2	ENSMUSG00000047030	263876	Spata2	2	spermatogenesis associated 2	protein_coding
Rnf114	ENSMUSG00000006418	81018	Rnf114	2	ring finger protein 114	protein_coding
Snai1	ENSMUSG00000042821	20613	Snai1	2	snail family zinc finger 1	protein_coding
Ube2v1	ENSMUSG00000078923	66589	Ube2v1	2	ubiquitin-conjugating enzyme E2 variant 1	protein_coding
Tmem189	ENSMUSG00000090213	407243	Tmem189	2	transmembrane protein 189	protein_coding
Gm14320	ENSMUSG00000085914	NA	Gm14320	2	predicted gene 14320	lncRNA
Cebpb	ENSMUSG00000056501	12608	Cebpb	2	CCAAT/enhancer binding protein (C/EBP), beta	protein_coding
A530013C23Rik	ENSMUSG00000006462	NA	A530013C23Rik	2	RIKEN cDNA A530013C23 gene	lncRNA
9230111E07Rik	ENSMUSG00000087624	NA	9230111E07Rik	2	RIKEN cDNA 9230111E07 gene	lncRNA
1200007C13Rik	ENSMUSG00000087684	NA	1200007C13Rik	2	RIKEN cDNA 1200007C13 gene	lncRNA
Gm14319	ENSMUSG00000085411	NA	Gm14319	2	predicted gene 14319	lncRNA
Ptpn1	ENSMUSG00000027540	19246	Ptpn1	2	protein tyrosine phosphatase, non-receptor type 1	protein_coding
Ripor3	ENSMUSG00000074577	69553	Ripor3	2	RIPOR family member 3	protein_coding
Pard6b	ENSMUSG00000044641	58220	Pard6b	2	par-6 family cell polarity regulator beta	protein_coding
Adnp	ENSMUSG00000051149	11538	Adnp	2	activity-dependent neuroprotective protein	protein_coding
Dpm1	ENSMUSG00000078919	13480	Dpm1	2	dolichol-phosphate (beta-D) mannosyltransferase 1	protein_coding
Mocs3	ENSMUSG00000074576	69372	Mocs3	2	molybdenum cofactor synthesis 3	protein_coding
Kcng1	ENSMUSG00000074575	241794	Kcng1	2	potassium voltage-gated channel, subfamily G, member 1	protein_coding
Nfatc2	ENSMUSG00000027544	18019	Nfatc2	2	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 2	protein_coding
Atp9a	ENSMUSG00000027546	11981	Atp9a	2	ATPase, class II, type 9A	protein_coding
Sall4	ENSMUSG00000027547	99377	Sall4	2	spalt like transcription factor 4	protein_coding
Zfp64	ENSMUSG00000027551	22722	Zfp64	2	zinc finger protein 64	protein_coding
Gm9873	ENSMUSG00000052368	NA	Gm9873	2	predicted gene 9873	lncRNA
Gm14249	ENSMUSG00000087074	NA	Gm14249	2	predicted gene 14249	lncRNA
Tshz2	ENSMUSG00000047907	228911	Tshz2	2	teashirt zinc finger family member 2	protein_coding
Zfp217	ENSMUSG00000052056	228913	Zfp217	2	zinc finger protein 217	protein_coding
Bcas1	ENSMUSG00000013523	76960	Bcas1	2	breast carcinoma amplified sequence 1	protein_coding
Pfdn4	ENSMUSG00000052033	109054	Pfdn4	2	prefoldin 4	protein_coding
Gm16796	ENSMUSG00000085495	NA	Gm16796	2	predicted gene, 16796	lncRNA
Dok5	ENSMUSG00000027560	76829	Dok5	2	docking protein 5	protein_coding
Fam210b	ENSMUSG00000027495	67017	Fam210b	2	family with sequence similarity 210, member B	protein_coding
Aurka	ENSMUSG00000027496	20878	Aurka	2	aurora kinase A	protein_coding
Cstf1	ENSMUSG00000027498	67337	Cstf1	2	cleavage stimulation factor, 3' pre-RNA, subunit 1	protein_coding
Cass4	ENSMUSG00000074570	320664	Cass4	2	Cas scaffolding protein family member 4	protein_coding
Gm14455	ENSMUSG00000087633	NA	Gm14455	2	predicted gene 14455	lncRNA
Rtf2	ENSMUSG00000027502	66404	Rtf2	2	replication termination factor 2	protein_coding
Fam209	ENSMUSG00000027505	76426	Fam209	2	family with sequence similarity 209	protein_coding
Tfap2c	ENSMUSG00000028640	21420	Tfap2c	2	transcription factor AP-2, gamma	protein_coding
Bmp7	ENSMUSG00000008999	12162	Bmp7	2	bone morphogenetic protein 7	protein_coding
Rae1	ENSMUSG00000027509	66679	Rae1	2	ribonucleic acid export 1	protein_coding
Rbm38	ENSMUSG00000027510	56190	Rbm38	2	RNA binding motif protein 38	protein_coding
Zbp1	ENSMUSG00000027514	58203	Zbp1	2	Z-DNA binding protein 1	protein_coding
Pmepa1	ENSMUSG00000038400	65112	Pmepa1	2	prostate transmembrane protein, androgen induced 1	protein_coding
Pmepa1os	ENSMUSG00000087600	NA	Pmepa1os	2	prostate transmembrane protein, androgen induced 1, opposite strand	lncRNA
Rab22a	ENSMUSG00000027519	19334	Rab22a	2	RAB22A, member RAS oncogene family	protein_coding
Vapb	ENSMUSG00000054455	56491	Vapb	2	vesicle-associated membrane protein, associated protein B and C	protein_coding
Stx16	ENSMUSG00000027522	228960	Stx16	2	syntaxin 16	protein_coding
Npepl1	ENSMUSG00000039263	228961	Npepl1	2	aminopeptidase-like 1	protein_coding
Nespas	ENSMUSG00000086537	NA	Gnasas1	2	GNAS antisense RNA 1	lncRNA
Gnas	ENSMUSG00000027523	14683	Gnas	2	GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus	protein_coding
Gm20721	ENSMUSG00000090625	NA	Gm20721	2	predicted gene, 20721	protein_coding
Nelfcd	ENSMUSG00000016253	57314	Nelfcd	2	negative elongation factor complex member C/D, Th1l	protein_coding
Ctsz	ENSMUSG00000016256	64138	Ctsz	2	cathepsin Z	protein_coding
Atp5e	ENSMUSG00000016252	67126	Atp5e	2	ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit	protein_coding
Prelid3b	ENSMUSG00000016257	66390	Prelid3b	2	PRELI domain containing 3B	protein_coding
Edn3	ENSMUSG00000027524	13616	Edn3	2	endothelin 3	protein_coding
Gm14393	ENSMUSG00000078905	664987	Gm14393	2	predicted gene 14393	protein_coding
Gm14399	ENSMUSG00000090093	665001	Gm14399	2	predicted gene 14399	protein_coding
Gm14443	ENSMUSG00000078902	NA	Gm14443	2	predicted gene 14443	protein_coding
Gm14391	ENSMUSG00000078903	665001	Gm14391	2	predicted gene 14391	protein_coding
Gm4631	ENSMUSG00000078899	627914	Gm4631	2	predicted gene 4631	protein_coding
Zfp968	ENSMUSG00000078898	100043914	Zfp968	2	zinc finger protein 968	protein_coding
Gm4724	ENSMUSG00000078897	100043915	Gm4724	2	predicted gene 4724	protein_coding
Zfp965	ENSMUSG00000078896	100503949	Zfp965	2	zinc finger protein 965	protein_coding
Gm6710	ENSMUSG00000078887	626832	Gm6710	2	predicted gene 6710	protein_coding
Zfp966	ENSMUSG00000089756	667962	Zfp966	2	zinc finger protein 966	protein_coding
Gm11008	ENSMUSG00000078891	NA	Gm11008	2	predicted gene 11008	lncRNA
Gm14434	ENSMUSG00000078881	668039	Gm14434	2	predicted gene 14434	protein_coding
Gm14308	ENSMUSG00000078880	100043381	Gm14308	2	predicted gene 14308	protein_coding
Zfp973	ENSMUSG00000078879	545490	Zfp973	2	zinc finger protein 973	protein_coding
Gm14305	ENSMUSG00000078878	668030	Gm14305	2	predicted gene 14305	protein_coding
Gm14295	ENSMUSG00000078877	100039123	Gm14295	2	predicted gene 14295	protein_coding
Gm14296	ENSMUSG00000074527	102639598	Gm14296	2	predicted gene 14296	protein_coding
Gm14419	ENSMUSG00000078875	628147	Gm14419	2	predicted gene 14419	protein_coding
Gm14401	ENSMUSG00000078872	NA	Gm14401	2	predicted gene 14401	protein_coding
Gm14410	ENSMUSG00000078870	NA	Gm14410	2	predicted gene 14410	protein_coding
Gm14412	ENSMUSG00000078868	NA	Gm14412	2	predicted gene 14412	protein_coding
Gm14418	ENSMUSG00000078867	NA	Gm14418	2	predicted gene 14418	protein_coding
Zfp970	ENSMUSG00000078866	628308	Zfp970	2	zinc finger protein 970	protein_coding
Gm14403	ENSMUSG00000094786	NA	Gm14403	2	predicted gene 14403	protein_coding
Gm14322	ENSMUSG00000078864	626802	Gm14322	2	predicted gene 14322	protein_coding
Gm14325	ENSMUSG00000095362	329575	Gm14325	2	predicted gene 14325	protein_coding
Gm14327	ENSMUSG00000074521	NA	Gm14327	2	predicted gene 14327	protein_coding
Zfp972	ENSMUSG00000074529	78703	Zfp972	2	zinc finger protein 972	protein_coding
Gm14326	ENSMUSG00000078862	665211	Gm14326	2	predicted gene 14326	protein_coding
Zfp971	ENSMUSG00000074519	626848	Zfp971	2	zinc finger protein 971	protein_coding
Zfp931	ENSMUSG00000078861	353208	Zfp931	2	zinc finger protein 931	protein_coding
Phactr3	ENSMUSG00000027525	74189	Phactr3	2	phosphatase and actin regulator 3	protein_coding
Sycp2	ENSMUSG00000060445	320558	Sycp2	2	synaptonemal complex protein 2	protein_coding
Ppp1r3d	ENSMUSG00000049999	228966	Ppp1r3d	2	protein phosphatase 1, regulatory subunit 3D	protein_coding
Fam217b	ENSMUSG00000070476	71532	Fam217b	2	family with sequence similarity 217, member B	protein_coding
Cdh26	ENSMUSG00000039155	381409	Cdh26	2	cadherin-like 26	protein_coding
Cdh4	ENSMUSG00000000305	12561	Cdh4	2	cadherin 4	protein_coding
Taf4	ENSMUSG00000039117	228980	Taf4	2	TATA-box binding protein associated factor 4	protein_coding
Lsm14b	ENSMUSG00000039108	241846	Lsm14b	2	LSM family member 14B	protein_coding
Psma7	ENSMUSG00000027566	26444	Psma7	2	proteasome (prosome, macropain) subunit, alpha type 7	protein_coding
Ss18l1	ENSMUSG00000039086	269397	Ss18l1	2	SS18, nBAF chromatin remodeling complex subunit like 1	protein_coding
Mtg2	ENSMUSG00000039069	52856	Mtg2	2	mitochondrial ribosome associated GTPase 2	protein_coding
Hrh3	ENSMUSG00000039059	99296	Hrh3	2	histamine receptor H3	protein_coding
Osbpl2	ENSMUSG00000039050	228983	Osbpl2	2	oxysterol binding protein-like 2	protein_coding
Adrm1	ENSMUSG00000039041	56436	Adrm1	2	adhesion regulating molecule 1	protein_coding
Lama5	ENSMUSG00000015647	16776	Lama5	2	laminin, alpha 5	protein_coding
Rps21	ENSMUSG00000039001	66481	Rps21	2	ribosomal protein S21	protein_coding
Cables2	ENSMUSG00000038990	252966	Cables2	2	CDK5 and Abl enzyme substrate 2	protein_coding
Rbbp8nl	ENSMUSG00000038980	271887	Rbbp8nl	2	RBBP8 N-terminal like	protein_coding
Gata5	ENSMUSG00000015627	14464	Gata5	2	GATA binding protein 5	protein_coding
B230312C02Rik	ENSMUSG00000084843	NA	B230312C02Rik	2	RIKEN cDNA B230312C02 gene	lncRNA
Slco4a1	ENSMUSG00000038963	108115	Slco4a1	2	solute carrier organic anion transporter family, member 4a1	protein_coding
Mrgbp	ENSMUSG00000027569	73247	Mrgbp	2	MRG/MORF4L binding protein	protein_coding
Ogfr	ENSMUSG00000049401	72075	Ogfr	2	opioid growth factor receptor	protein_coding
Col9a3	ENSMUSG00000027570	12841	Col9a3	2	collagen, type IX, alpha 3	protein_coding
Tcfl5	ENSMUSG00000038932	277353	Tcfl5	2	transcription factor-like 5 (basic helix-loop-helix)	protein_coding
Dido1	ENSMUSG00000038914	23856	Dido1	2	death inducer-obliterator 1	protein_coding
Gid8	ENSMUSG00000027573	76425	Gid8	2	GID complex subunit 8	protein_coding
Slc17a9	ENSMUSG00000023393	228993	Slc17a9	2	solute carrier family 17, member 9	protein_coding
Ythdf1	ENSMUSG00000038848	228994	Ythdf1	2	YTH N6-methyladenosine RNA binding protein 1	protein_coding
Nkain4	ENSMUSG00000027574	58237	Nkain4	2	Na+/K+ transporting ATPase interacting 4	protein_coding
Gm14341	ENSMUSG00000087293	NA	Gm14341	2	predicted gene 14341	lncRNA
Arfgap1	ENSMUSG00000027575	228998	Arfgap1	2	ADP-ribosylation factor GTPase activating protein 1	protein_coding
Col20a1	ENSMUSG00000016356	73368	Col20a1	2	collagen, type XX, alpha 1	protein_coding
Kcnq2	ENSMUSG00000016346	16536	Kcnq2	2	potassium voltage-gated channel, subfamily Q, member 2	protein_coding
Eef1a2	ENSMUSG00000016349	13628	Eef1a2	2	eukaryotic translation elongation factor 1 alpha 2	protein_coding
Ppdpf	ENSMUSG00000016344	66496	Ppdpf	2	pancreatic progenitor cell differentiation and proliferation factor	protein_coding
Ptk6	ENSMUSG00000038751	20459	Ptk6	2	PTK6 protein tyrosine kinase 6	protein_coding
Srms	ENSMUSG00000027579	20811	Srms	2	src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites	protein_coding
Fndc11	ENSMUSG00000047841	332713	Fndc11	2	fibronectin type III domain containing 11	protein_coding
Helz2	ENSMUSG00000027580	229003	Helz2	2	helicase with zinc finger 2, transcriptional coactivator	protein_coding
Gmeb2	ENSMUSG00000038705	229004	Gmeb2	2	glucocorticoid modulatory element binding protein 2	protein_coding
Stmn3	ENSMUSG00000027581	20262	Stmn3	2	stathmin-like 3	protein_coding
Rtel1	ENSMUSG00000038685	269400	Rtel1	2	regulator of telomere elongation helicase 1	protein_coding
Arfrp1	ENSMUSG00000038671	76688	Arfrp1	2	ADP-ribosylation factor related protein 1	protein_coding
Zgpat	ENSMUSG00000027582	229007	Zgpat	2	zinc finger, CCCH-type with G patch domain	protein_coding
Zbtb46	ENSMUSG00000027583	72147	Zbtb46	2	zinc finger and BTB domain containing 46	protein_coding
Tpd52l2	ENSMUSG00000000827	66314	Tpd52l2	2	tumor protein D52-like 2	protein_coding
Dnajc5	ENSMUSG00000000826	13002	Dnajc5	2	DnaJ heat shock protein family (Hsp40) member C5	protein_coding
Uckl1	ENSMUSG00000089917	68556	Uckl1	2	uridine-cytidine kinase 1-like 1	protein_coding
Uckl1os	ENSMUSG00000010492	NA	Uckl1os	2	uridine-cytidine kinase 1-like 1, opposite strand	lncRNA
Zfp512b	ENSMUSG00000000823	269401	Zfp512b	2	zinc finger protein 512B	protein_coding
Prpf6	ENSMUSG00000002455	68879	Prpf6	2	pre-mRNA splicing factor 6	protein_coding
Samd10	ENSMUSG00000038605	229011	Samd10	2	sterile alpha motif domain containing 10	protein_coding
Sox18	ENSMUSG00000046470	20672	Sox18	2	SRY (sex determining region Y)-box 18	protein_coding
Tcea2	ENSMUSG00000059540	21400	Tcea2	2	transcription elongation factor A (SII), 2	protein_coding
Rgs19	ENSMUSG00000002458	56470	Rgs19	2	regulator of G-protein signaling 19	protein_coding
Oprl1	ENSMUSG00000027584	18389	Oprl1	2	opioid receptor-like 1	protein_coding
Pcmtd2	ENSMUSG00000027589	245867	Pcmtd2	2	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2	protein_coding
Polr3k	ENSMUSG00000038628	67005	Polr3k	2	polymerase (RNA) III (DNA directed) polypeptide K	protein_coding
Nudt11	ENSMUSG00000073295	58242	Nudt11	X	nudix (nucleoside diphosphate linked moiety X)-type motif 11	protein_coding
Nudt10	ENSMUSG00000073293	102954	Nudt10	X	nudix (nucleoside diphosphate linked moiety X)-type motif 10	protein_coding
Shroom4	ENSMUSG00000068270	208431	Shroom4	X	shroom family member 4	protein_coding
Dgkk	ENSMUSG00000062393	331374	Dgkk	X	diacylglycerol kinase kappa	protein_coding
Clcn5	ENSMUSG00000004317	12728	Clcn5	X	chloride channel, voltage-sensitive 5	protein_coding
Usp27x	ENSMUSG00000046269	54651	Usp27x	X	ubiquitin specific peptidase 27, X chromosome	protein_coding
Ppp1r3f	ENSMUSG00000039556	54646	Ppp1r3f	X	protein phosphatase 1, regulatory subunit 3F	protein_coding
Flicr	ENSMUSG00000039545	NA	Flicr	X	Foxp3 regulating long intergenic noncoding RNA	lncRNA
Ccdc22	ENSMUSG00000031143	54638	Ccdc22	X	coiled-coil domain containing 22	protein_coding
Cacna1f	ENSMUSG00000031142	54652	Cacna1f	X	calcium channel, voltage-dependent, alpha 1F subunit	protein_coding
Syp	ENSMUSG00000031144	20977	Syp	X	synaptophysin	protein_coding
Gm14703	ENSMUSG00000087644	NA	Gm14703	X	predicted gene 14703	lncRNA
Prickle3	ENSMUSG00000031145	54630	Prickle3	X	prickle planar cell polarity protein 3	protein_coding
Plp2	ENSMUSG00000031146	18824	Plp2	X	proteolipid protein 2	protein_coding
Magix	ENSMUSG00000031147	54634	Magix	X	MAGI family member, X-linked	protein_coding
Gpkow	ENSMUSG00000031148	209416	Gpkow	X	G patch domain and KOW motifs	protein_coding
Wdr45	ENSMUSG00000039382	54636	Wdr45	X	WD repeat domain 45	protein_coding
Praf2	ENSMUSG00000031149	54637	Praf2	X	PRA1 domain family 2	protein_coding
Ccdc120	ENSMUSG00000031150	54648	Ccdc120	X	coiled-coil domain containing 120	protein_coding
Tfe3	ENSMUSG00000000134	209446	Tfe3	X	transcription factor E3	protein_coding
Gripap1	ENSMUSG00000031153	54645	Gripap1	X	GRIP1 associated protein 1	protein_coding
Kcnd1	ENSMUSG00000009731	16506	Kcnd1	X	potassium voltage-gated channel, Shal-related family, member 1	protein_coding
Otud5	ENSMUSG00000031154	54644	Otud5	X	OTU domain containing 5	protein_coding
Pim2	ENSMUSG00000031155	18715	Pim2	X	proviral integration site 2	protein_coding
Slc35a2	ENSMUSG00000031156	22232	Slc35a2	X	solute carrier family 35 (UDP-galactose transporter), member A2	protein_coding
Pqbp1	ENSMUSG00000031157	54633	Pqbp1	X	polyglutamine binding protein 1	protein_coding
Timm17b	ENSMUSG00000031158	21855	Timm17b	X	translocase of inner mitochondrial membrane 17b	protein_coding
Pcsk1n	ENSMUSG00000039278	30052	Pcsk1n	X	proprotein convertase subtilisin/kexin type 1 inhibitor	protein_coding
Eras	ENSMUSG00000031160	353283	Eras	X	ES cell-expressed Ras	protein_coding
Hdac6	ENSMUSG00000031161	15185	Hdac6	X	histone deacetylase 6	protein_coding
Glod5	ENSMUSG00000031163	69824	Glod5	X	glyoxalase domain containing 5	protein_coding
Gm14820	ENSMUSG00000087193	NA	Gm14820	X	predicted gene 14820	lncRNA
Suv39h1	ENSMUSG00000039231	20937	Suv39h1	X	suppressor of variegation 3-9 1	protein_coding
Was	ENSMUSG00000031165	22376	Was	X	Wiskott-Aldrich syndrome	protein_coding
Wdr13	ENSMUSG00000031166	73447	Wdr13	X	WD repeat domain 13	protein_coding
Rbm3	ENSMUSG00000031167	19652	Rbm3	X	RNA binding motif (RNP1, RRM) protein 3	protein_coding
Rbm3os	ENSMUSG00000055188	NA	Rbm3os	X	RNA binding motif protein 3, opposite strand	lncRNA
Tbc1d25	ENSMUSG00000039201	209815	Tbc1d25	X	TBC1 domain family, member 25	protein_coding
Ebp	ENSMUSG00000031168	13595	Ebp	X	phenylalkylamine Ca2+ antagonist (emopamil) binding protein	protein_coding
Porcn	ENSMUSG00000031169	53627	Porcn	X	porcupine O-acyltransferase	protein_coding
Ftsj1	ENSMUSG00000031171	54632	Ftsj1	X	FtsJ RNA methyltransferase homolog 1 (E. coli)	protein_coding
Slc38a5	ENSMUSG00000031170	209837	Slc38a5	X	solute carrier family 38, member 5	protein_coding
B630019K06Rik	ENSMUSG00000052364	NA	B630019K06Rik	X	RIKEN cDNA B630019K06 gene	protein_coding
Lancl3	ENSMUSG00000047344	236285	Lancl3	X	LanC lantibiotic synthetase component C-like 3 (bacterial)	protein_coding
Gm14862	ENSMUSG00000079694	NA	Gm14862	X	predicted gene 14862	protein_coding
Xk	ENSMUSG00000015342	22439	Xk	X	X-linked Kx blood group	protein_coding
H2al1m	ENSMUSG00000100200	76383	H2al1m	X	H2A histone family member L1M	protein_coding
Cybb	ENSMUSG00000015340	13058	Cybb	X	cytochrome b-245, beta polypeptide	protein_coding
Dynlt3	ENSMUSG00000031176	67117	Dynlt3	X	dynein light chain Tctex-type 3	protein_coding
Hypm	ENSMUSG00000040456	67334	Hypm	X	huntingtin interacting protein M	protein_coding
Sytl5	ENSMUSG00000054453	236643	Sytl5	X	synaptotagmin-like 5	protein_coding
Srpx	ENSMUSG00000090084	51795	Srpx	X	sushi-repeat-containing protein	protein_coding
Rpgr	ENSMUSG00000031174	19893	Rpgr	X	retinitis pigmentosa GTPase regulator	protein_coding
Tspan7	ENSMUSG00000058254	21912	Tspan7	X	tetraspanin 7	protein_coding
Mid1ip1	ENSMUSG00000008035	68041	Mid1ip1	X	Mid1 interacting protein 1 (gastrulation specific G12-like (zebrafish))	protein_coding
Gm14493	ENSMUSG00000085587	NA	Gm14493	X	predicted gene 14493	lncRNA
Bcor	ENSMUSG00000040363	71458	Bcor	X	BCL6 interacting corepressor	protein_coding
Atp6ap2	ENSMUSG00000031007	70495	Atp6ap2	X	ATPase, H+ transporting, lysosomal accessory protein 2	protein_coding
1810030O07Rik	ENSMUSG00000044148	69155	1810030O07Rik	X	RIKEN cDNA 1810030O07 gene	protein_coding
Med14	ENSMUSG00000064127	26896	Med14	X	mediator complex subunit 14	protein_coding
Usp9x	ENSMUSG00000031010	22284	Usp9x	X	ubiquitin specific peptidase 9, X chromosome	protein_coding
Ddx3x	ENSMUSG00000000787	13205	Ddx3x	X	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3, X-linked	protein_coding
Cask	ENSMUSG00000031012	12361	Cask	X	calcium/calmodulin-dependent serine protein kinase (MAGUK family)	protein_coding
Gpr34	ENSMUSG00000040229	23890	Gpr34	X	G protein-coupled receptor 34	protein_coding
Maoa	ENSMUSG00000025037	17161	Maoa	X	monoamine oxidase A	protein_coding
Maob	ENSMUSG00000040147	109731	Maob	X	monoamine oxidase B	protein_coding
Ndp	ENSMUSG00000040138	17986	Ndp	X	Norrie disease (pseudoglioma) (human)	protein_coding
Efhc2	ENSMUSG00000025038	74405	Efhc2	X	EF-hand domain (C-terminal) containing 2	protein_coding
